墨韵更新日期,#genre#
2025-12-08,https://gitlab.com/lr77/IPTV/-/raw/main/%E8%B5%B7%E9%A3%8E%E4%BA%86.mp4
💮央视频道,#genre#
CCTV1,http://58.57.40.22:9901/tsfile/live/0001_1.m3u8$LR•IPV4『线路1』
CCTV1,http://8.138.7.223/【公众号：榴芒电视】/cctv1.m3u8$LR•IPV4『线路3』
CCTV1,http://111.43.126.240:9003/hls/13/index.m3u8$LR•IPV4『线路4』
CCTV1,http://183.11.239.36:808/hls/19/index.m3u8$LR•IPV4『线路6』
CCTV1,http://112.123.206.32:808/hls/1/index.m3u8$LR•IPV4『线路8』
CCTV2,http://111.43.126.240:9003/hls/14/index.m3u8$LR•IPV4『线路1』
CCTV2,http://58.57.40.22:9901/tsfile/live/1001_1.m3u8$LR•IPV4『线路3』
CCTV2,http://112.46.85.60:8009/hls/502/index.m3u8$LR•IPV4『线路5』
CCTV2,http://218.3.138.25:1111/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路7』
CCTV2,http://120.76.248.139/live/bfgd/4200000061.m3u8$LR•IPV4『线路8』
CCTV2,http://125.42.148.146:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路9』
CCTV2,http://39.164.160.249:9901/tsfile/live/0002_1.m3u8$LR•IPV4『线路10』
CCTV3,http://111.43.126.240:9003/hls/15/index.m3u8$LR•IPV4『线路1』
CCTV3,http://112.46.85.60:8009/hls/3/index.m3u8$LR•IPV4『线路2』
CCTV3,http://218.3.138.25:1111/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路6』
CCTV3,http://58.57.40.22:9901/tsfile/live/1002_1.m3u8$LR•IPV4『线路7』
CCTV3,http://223.241.247.214:9901/tsfile/live/0003_1.m3u8$LR•IPV4『线路8』
CCTV3,http://120.76.248.139/live/bfgd/4200000062.m3u8$LR•IPV4『线路10』
CCTV4,https://global.cgtn.cicc.media.caton.cloud/master/cgtn-america.m3u8$LR•IPV4『线路1』
CCTV4,http://111.43.126.240:9003/hls/16/index.m3u8$LR•IPV4『线路3』
CCTV4,http://112.46.85.60:8009/hls/4/index.m3u8$LR•IPV4『线路5』
CCTV4,http://183.11.239.36:808/hls/67/index.m3u8$LR•IPV4『线路7』
CCTV4,http://183.11.239.36:808/hls/22/index.m3u8$LR•IPV4『线路8』
CCTV5,http://111.43.126.240:9003/hls/17/index.m3u8$LR•IPV4『线路1』
CCTV5,http://112.46.85.60:8009/hls/503/index.m3u8$LR•IPV4『线路3』
CCTV5,http://183.11.239.36:808/hls/93/index.m3u8$LR•IPV4『线路4』
CCTV5,http://120.76.248.139/live/bfgd/4200000064.m3u8$LR•IPV4『线路6』
CCTV5,http://sh.lnott.top:880/dx05.m3u8$LR•IPV4『线路8』
CCTV5,http://218.3.138.25:1111/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路10』
CCTV5+,http://111.43.126.240:9003/hls/18/index.m3u8$LR•IPV4『线路1』
CCTV5+,http://58.57.40.22:9901/tsfile/live/1005_1.m3u8$LR•IPV4『线路2』
CCTV5+,http://182.150.23.74:808/hls/16/index.m3u8$LR•IPV4『线路4』
CCTV5+,http://222.169.85.8:9901/tsfile/live/0116_1.m3u8$LR•IPV4『线路5』
CCTV5+,http://120.76.248.139/live/bfgd/4200000246.m3u8$LR•IPV4『线路9』
CCTV5+,https://piccpndali.v.myalicdn.com/audio/cctv5plus_2.m3u8$LR•IPV4『线路10』
CCTV6,http://111.43.126.240:9003/hls/19/index.m3u8$LR•IPV4『线路1』
CCTV6,http://183.11.239.36:808/hls/94/index.m3u8$LR•IPV4『线路3』
CCTV6,http://sh.lnott.top:880/dx06.m3u8$LR•IPV4『线路6』
CCTV6,http://58.57.40.22:9901/tsfile/live/1006_1.m3u8$LR•IPV4『线路7』
CCTV6,http://218.3.138.25:1111/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路10』
CCTV7,http://111.43.126.240:9003/hls/20/index.m3u8$LR•IPV4『线路1』
CCTV7,http://58.57.40.22:9901/tsfile/live/1007_1.m3u8$LR•IPV4『线路3』
CCTV7,http://8.138.7.223/【公众号：榴芒电视】/cctv7.m3u8$LR•IPV4『线路4』
CCTV7,http://112.46.85.60:8009/hls/504/index.m3u8$LR•IPV4『线路5』
